event_id,event_type,severity,track_id,zone_id,timestamp,frame_index
evt-1,intrusion_enter,HIGH,1,restricted_area,1786092534.671983,0
evt-2,intrusion_enter,HIGH,2,restricted_area,1786092534.671983,0
evt-3,intrusion_enter,HIGH,3,restricted_area,1786092534.671983,0
evt-4,intrusion_enter,HIGH,4,restricted_area,1786092534.671983,0
evt-5,intrusion_enter,HIGH,5,restricted_area,1786092535.915654,2
evt-6,intrusion_enter,HIGH,6,restricted_area,1786092536.166091,4
evt-7,intrusion_enter,HIGH,7,restricted_area,1786092536.26673,5
evt-8,intrusion_enter,HIGH,8,restricted_area,1786092536.3483799,6
evt-9,intrusion_enter,HIGH,9,restricted_area,1786092536.560373,8
evt-10,intrusion_enter,HIGH,10,restricted_area,1786092536.7155159,10
evt-11,intrusion_enter,HIGH,11,restricted_area,1786092536.8029828,11
evt-12,intrusion_enter,HIGH,12,restricted_area,1786092536.984118,13
evt-13,intrusion_enter,HIGH,13,restricted_area,1786092537.083296,14
evt-14,intrusion_enter,HIGH,14,restricted_area,1786092537.8373141,22
evt-15,intrusion_enter,HIGH,15,restricted_area,1786092538.532877,28
evt-16,intrusion_enter,HIGH,16,restricted_area,1786092538.621583,29
evt-17,intrusion_enter,HIGH,17,restricted_area,1786092538.738258,30
evt-18,intrusion_enter,HIGH,18,restricted_area,1786092538.738258,30
evt-19,intrusion_enter,HIGH,19,restricted_area,1786092538.841467,31
evt-20,intrusion_enter,HIGH,20,restricted_area,1786092538.9275079,32
evt-21,intrusion_enter,HIGH,21,restricted_area,1786092539.017525,33
evt-22,intrusion_enter,HIGH,22,restricted_area,1786092539.1321118,34
evt-23,intrusion_enter,HIGH,23,restricted_area,1786092539.2181299,35
evt-24,intrusion_enter,HIGH,24,restricted_area,1786092539.321934,36
evt-25,intrusion_enter,HIGH,25,restricted_area,1786092539.8449512,42
evt-26,intrusion_enter,HIGH,26,restricted_area,1786092539.9416142,43
evt-27,intrusion_enter,HIGH,27,restricted_area,1786092539.9416142,43
evt-28,intrusion_enter,HIGH,28,restricted_area,1786092540.0211022,44
evt-29,intrusion_enter,HIGH,29,restricted_area,1786092540.0211022,44
evt-30,intrusion_enter,HIGH,30,restricted_area,1786092540.107559,45
evt-31,intrusion_enter,HIGH,31,restricted_area,1786092540.219472,46
